lfdn,v_6,v_6_coded
106,Researcher,Researcher
139,Product Management Coach,Manager
173,"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant
216,Enterprise Systems of Systems researcher (automotive cybersecurity),Researcher
240,"Changing with different jobs, RE, Architect, Developer ",Multiple Roles
269,Both Analyst and architech,Multiple Roles
292,Systems Engineer ,Architect
299,Marketing,Context Roles
306,Requirements Engineer AND product owner depending on the project,Multiple Roles
310,Developer of Requirements Engineering tools and processes.,Process Designer
342,A combination of Requirements Engineer and Entiprise Business Analyst,Multiple Roles
354,Product Manager,Manager
380,Product Manager (strategy and roadmap planning) - guiding a team of Product Owners,Manager
400,Systems Engineer,Architect
405,Responsible for developing processes and methods,Process Designer
445,Participant on the development of ISO 25000 system quality std family ,Context Roles
447,Service Designer,Designer
466,Director of Product Management (managing a team of product managers/product owners),Manager
511,PhD Candidate in Computer Science with thesis on requirements engineering field,Researcher
515,bridge builder between business and IT/development (different role names in different contexts),Multiple Roles
544,"Senior BA Trainer, University Information technology and Information Systems Lecturer.",Researcher
571,Consultant,Consultant
590,Consultant,Consultant
597,Line manager for a team of product owners and system engineers,Architect
643,CTO,Manager
775,"I am a researcher, also working with customers in industry.",Researcher
885,"Product owner, business analyst,  arthitect",Multiple Roles
890,"Researcher, academic project advisor (involves some RE responsabilities)",Researcher
1027,R&D,Researcher
