EvID,PaperID,Vote,v_5,v_6,v_6_coded,v_5_6_merged,v_11,v_11_coded,v_12,v_14,v_15,v_16,v_16_coded,v_15_16_merged,v_19,v_19_coded,v_124,v_118,v_119,v_120,v_121
3,371,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,10,10.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,Public administration,Public Sector,Spain,quoted,quoted,quoted,not quoted
3,404,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,10,10.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,Public administration,Public Sector,Spain,quoted,quoted,quoted,not quoted
3,413,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,10,10.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,Public administration,Public Sector,Spain,quoted,quoted,quoted,not quoted
4,41,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,72,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,102,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,113,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,130,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,194,Essential,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,207,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,221,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,296,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,355,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,401,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,418,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,429,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,431,Worthwhile,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
4,434,Unimportant,Business Analyst,NotAnswered,NotAnswered,Business Analyst,15,15.0,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,NotAnswered,Hybrid / mix of embedded systems and information systems,Telecommunications,ICT,Ecuador,quoted,not quoted,not quoted,not quoted
5,14,Worthwhile,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,10 years,10.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,Heathcare ,Healthcare,Canada,not quoted,quoted,not quoted,not quoted
