lfdn,v_16,v_16_coded
139,Customer facing software products,Consumer Software
240,"Different, consumer platforms, mobile Apps etc.",Consumer Software
245,Aeronautics ,Software-intensive embedded systems
310,"Requirements Engineering tools, compilers and other information systems.",(Business) information systems
341,Railway systems,Software-intensive embedded systems
354,"machinery, intralogistic systems",Hardware
363,firmware/microprocessor systems,Hardware
515,"network / infrastructure, systems (HW + embedded + SW), organisation",Hardware
590,all the above,Hybrid / mix of embedded systems and information systems
784,online education systems,Consumer Software
885,ERP,(Business) information systems
906,"All of the above, along with hardware ",Hybrid / mix of embedded systems and information systems
