lfdn,v_19
106,Automotive
131,education
139,Wide range (from automotive supplier to insurance company)
153,Public administration
156,Telecommunications
158,Heathcare 
160,Education
171,"administration, pharmaceutical, goverment"
173,"railway, automotive, avionics, Industrial I have customers in all sectors currently"
194,RE and QA consulting in different industries
197,Automotive and Biotech Engineering
204,Financial services
207,Robotics
216,Automotive
220,Public 
221,"Banking and Finance (Brokerage), Training courses"
224,Medicine
226,Higher Education IT support
229,Automotive
235,Public sector
238,Industrial Systems 
240,Financing
243,energy trading
244,Embedded Systems in industrial envirionment (automation)
245,Aeronatics Defence Space
246,it varies
247,"Transportation, Logistics"
253,Insurance and banking
262,"production, healthcare"
268,Saas tech marketing
269,Microsoft consulting
282,OIl & Gas 
285,Electronic Security
286,Finance
291,Financial services
292,Defense 
296,Semiconductor 
298,Telecommunication
299,Software Engineering 
301,Building Technologies 
306,Logistics
308,Banking
310,Aerospace/Defence and telecom.
320,Avionics
326,automotive engine manufacturing
327,Automotive
328,Telecommunications
341,"Railways, Rolling Stock"
342,Finance
343,Automotive
346,telecommunications
347,Railway
349,Higher Education
354,"planning, builiding and commissioning intralogistic systems"
363,SIL4 Railways
369,insurance
370,services
371,Local government administrative software
372,Banking and Fintech
374,ICT
375,Automotive
376,communication systems
380,Software Application Vendor
383,Automotive
387,Banking
389,telecommunications
395,pipelines
399,Banking
400,Automotive
405,automotive
409,"government, inspectorate"
411,insurance
415,automotive
416,Wellness and health care
418,Transportation
423,"Banking, Ticketing, Airline companies, Pharma, Insurance"
438,banking
442,telecommunications
445,Several
446,logistics
447,Public Sector
448,Financial Services
454,IoT devices.
461,Oil and Gas
463,Shop online websites
466,"Administrative IT applications (finance, retail, telecom, ...)"
475,railway
479,public accounting
484,Government
490,energy
494,logisitcs
500,IT
510,automotive
511,University
512,Finance
515,"analytic instruments, telecommunications"
523,Financial Services
525,health and banking
526,automotive
541,Medical devices
544,Education
545,system and software senior engineer
552,Automotive
555,Industrial automation
561,Systems related to finance and public
563,telecommunications
565,Healthcare
571,Automation
572,Aeronautics
576,automotive
577,Insurance
578,automotive
579,Medical
582,Communication solutions for health care based on wireless communication.
585,Automotive
589,Telecom
590,"Automotive, OEMs and automotive supplier"
593,Mixed
597,Telecommunications
618,Tourism
620,Government
625,telecommunications and insurance
634,Telecommunications
638,Information security/cyber
642,e-commerce - retail
643,Ecommerce
650,intranets
666,Telecommunications
682,Healthcare
716,"Automotive, Telecommunication "
772,marine
774,Financial industry.
775,Healthcare
784,educational informationization
792,automotive
852,Enterprise software
866,aviation
872,"technology, techcommunications and media"
881,Telecommunications semiconductors
885,"Garment Ind, software house"
890,Education
906,Computer engineering
915,Finance
919,Aerospace and defense
922,Consultant
930,transportation 
939,Avionics
944,avionics and electrical
965,IT
995,Network video
1015,Academic
1024,automotive
1027,Innovation Ecosystem
1029,e-government
