lfdn,v_16
139,Customer facing software products
240,"Different, consumer platforms, mobile Apps etc."
245,Aeronautics 
310,"Requirements Engineering tools, compilers and other information systems."
341,Railway systems
354,"machinery, intralogistic systems"
363,firmware/microprocessor systems
515,"network / infrastructure, systems (HW + embedded + SW), organisation"
590,all the above
784,online education systems
885,ERP
906,"All of the above, along with hardware "
